"analysis_id","draw","replicate","estimand","regime","sites","pooled_sites","pooled_population_share","unweighted_takeup","population_weighted_takeup","expected_takers","population_mean_distance_km","population_p90_distance_km","site_cost","signal_cost","travel_cost","total_cost","target_rate","target_slack_takers","roundtrip_participant_km","taker_mean_distance_km"
"baseline-posterior",1403,1403,"legacy","bracelet",91,39,0.638888888888889,0.335161746834738,0.335161746834738,48.2632915442022,1.60838309670396,3.2766433130779,91,0,0,91,0.333963146556845,0.172598440016607,116.040952296924,1.20216575148679
"baseline-posterior",1404,1404,"population","control",102,33,0.43343189105901,0.315181037783753,0.338116554189647,32476.771263024,1.22533492023892,3.18966975273969,102,0,0,102,0.33767408308391,42.5002346482797,55932.6127581751,0.861117201355795
"baseline-posterior",1404,1404,"population","bracelet",90,41,0.584443842918419,0.320652730226795,0.338871058883892,32549.2429479156,1.52477882333199,3.24814829764855,90,0,0,90,0.33767408308391,114.971919539857,76787.621456729,1.17956079008662
"baseline-posterior",1404,1404,"legacy","control",107,29,0.458333333333333,0.338026564200365,0.338026564200365,48.6758252448526,1.22980607934852,3.12922663651524,107,0,0,107,0.337246246583759,0.112365736791347,81.7321339324337,0.839555708827728
"baseline-posterior",1404,1404,"legacy","bracelet",94,37,0.604166666666667,0.338332082792565,0.338332082792565,48.7198199221293,1.53114789381496,3.2766433130779,94,0,0,94,0.337246246583759,0.156360414068075,115.263022644724,1.18291716624726
"baseline-posterior",1405,1405,"population","control",102,34,0.437377670428518,0.301152378228732,0.328742957448201,31576.4185488146,1.23210650374637,3.20578151406565,102,0,0,102,0.327578422732933,111.855888470924,50486.9150227486,0.799440173126346
"baseline-posterior",1405,1405,"population","bracelet",71,55,0.872933411069004,0.323237612913867,0.327609049804011,31467.5044517748,2.25459558453702,3.33641391132272,71,0,0,71,0.327578422732933,2.94179143114161,128246.676568956,2.03776369946176
"baseline-posterior",1405,1405,"legacy","control",107,29,0.458333333333333,0.329352768834414,0.329352768834414,47.4267987121556,1.22980607934852,3.12922663651524,107,0,0,107,0.327075513142808,0.327924819591203,73.4727649487037,0.774591232634393
"baseline-posterior",1405,1405,"legacy","bracelet",71,55,0.888888888888889,0.327081752596089,0.327081752596089,47.0997723738368,2.25643047869872,3.33641391132272,71,0,0,71,0.327075513142808,0.000898481272429308,194.171382175751,2.06127728850353
"baseline-posterior",1406,1406,"population","control",101,34,0.442354141506684,0.298450199595322,0.326140327963605,31326.4307815602,1.24736100170387,3.18966975273969,101,0,0,101,0.325457881061375,65.5503898530515,50522.0298856362,0.806380245453548
